image_name,comment-fa
1000092795.jpg,دو پسر جوان با موهای پرپشت درحیاط به دستان خود نگاه می کنند
1000092795.jpg,دو پسر جوان و سفیدپوست نزدیک بوته ها ایستاده اند
1000092795.jpg,دو مرد با لباس سبز در حیاط ایستاده اند
1000092795.jpg,مردی با لباس آبی در یک باغ استاده است
1000092795.jpg,دو دوست از اوقات با هم بودن لذت می برند
1000344755.jpg,شخصی با لباس و کلاه آبی روی پله ایستاده و به پنجره تکیه داده است
1000344755.jpg,مردی با لباس آبی روی نردبانی ایستاده و مشغول تمیز کردن پنجره است
1000344755.jpg,مردی روی نردبان پنجره یک ساختمان بلند را تمیز می کند
1000344755.jpg,مردی با لباس آبی و شلوار جین روی نردبان در حال تمیز کردن پنجره ها است
1000344755.jpg,مردی روی نردبان پنجره را تمیز می کند
1000366164.jpg,دو مرد ، یکی با لباس خاکستری ، دیگری با لباس سیاه ، نزدیک اجاق گاز ایستاده اند
1000366164.jpg,دو نفر در حال آشپزی هستند
1000366164.jpg,دو مرد در آشپزخانه روی اجاق گاز غذا می پزند
1000366164.jpg,دو مرد کنار اجاق هستند و مشغول تهیه غذا هستند
1000366164.jpg,دو مرد در حال آشپزی هستند
1000523639.jpg,مردی گیتاز می نوازد و دیگری لباس او را درست می کند
1000523639.jpg,مردی با لباس سبز رنگ گیتار در دست دارد در حالی که مرد دیگر لباس او را بررسی می کند
1000523639.jpg,مردی مشغول اصلاح لباس نوازندگان گیتار است
1000523639.jpg,مردی لباس مرد دیگری را می دوزد
1000523639.jpg,دو پسر گیتار می زنند
1000919630.jpg,مردی  شیر چاق و بزرگی را در آغوش دارد روی صندلی نشسته است
1000919630.jpg,مردی روی صندلی نشسته و یک حیوان بزرگ چاق را در دست دارد
1000919630.jpg,یک مرد آخرین کارها را برای تعمیر یک شیر عروسکی خراب انجام می دهد
1000919630.jpg,مردی اسباب بازی شیر پشمالوی بزرگی را در دست دارد
1000919630.jpg,مردی به شیر پاره شده لبخند می زند
10010052.jpg,دختری سوار بر اسکیت با تلفن همراهش در پارکینگ ایستاده است
10010052.jpg,دختری با تلفن همراه خود صحبت می کند و اسکیت به پا دارد
10010052.jpg,یک فرد جوان اسکیت پوشیده و  تلفن همراه خود را کنار گوش خود گرفته است
