caption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
دو,پسر,جوان,با,موهای,پرپشت,درحیاط,به,دستان,خود,نگاه,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
دو,پسر,جوان,و,سفیدپوست,نزدیک,بوته,ها,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
دو,مرد,با,لباس,سبز,در,حیاط,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
مردی,با,لباس,آبی,در,یک,باغ,استاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
دو,دوست,از,اوقات,با,هم,بودن,لذت,می,برند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
چندین,مرد,با,کلاه,های,سخت,یک,سیستم,قرقره,غول,پیکر,را,اجرا,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
کارگران,از,بالا,به,یک,قطعه,نگاه,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
دو,مرد,کلاه,دار,روی,دستگاهی,کار,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
چهار,مرد,بالای,یک,سازه,بلند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
سه,مرد,روی,یک,دکل,بزرگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
کودکی,با,لباس,صورتی,از,پله,ها,بالا,می,رود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
یک,دختر,کوچک,با,لباس,صورتی,وارد,یک,کابین,چوبی,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
یک,دختر,کوچک,از,پله,ها,به,سمت,خانه,بازی,خود,بالا,می,رود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
یک,دختر,کوچک,در,حال,رفتن,به,یک,خانه,بازی,چوبی,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
دختری,وارد,یک,ساختمان,چوبی,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
شخصی,با,لباس,و,کلاه,آبی,روی,پله,ایستاده,و,به,پنجره,تکیه,داده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
مردی,با,لباس,آبی,روی,نردبانی,ایستاده,و,مشغول,تمیز,کردن,پنجره,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
مردی,روی,نردبان,پنجره,یک,ساختمان,بلند,را,تمیز,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
مردی,با,لباس,آبی,و,شلوار,جین,روی,نردبان,در,حال,تمیز,کردن,پنجره,ها,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
مردی,روی,نردبان,پنجره,را,تمیز,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
دو,مرد,,یکی,با,لباس,خاکستری,,دیگری,با,لباس,سیاه,,نزدیک,اجاق,گاز,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
دو,نفر,در,حال,آشپزی,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
دو,مرد,در,آشپزخانه,روی,اجاق,گاز,غذا,می,پزند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
دو,مرد,کنار,اجاق,هستند,و,مشغول,تهیه,غذا,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
دو,مرد,در,حال,آشپزی,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
