image_name,comment_number,comment-fa,comment,
1000092795,0,دو پسر جوان با موهای پرپشت درحیاط به دستان خود نگاه میکنند,Two young guys with shaggy hair look at their hands while hanging out in the yard,
1000092795,1,دو پسر جوان و سفیدپوست نزدیک بوته ها ایستاده اند, Two young White males are outside near many bushes,
1000092795,2,دو مرد با لباس سبز در حیاط ایستاده اند,Two men in green shirts are standing in a yard,
1000092795,3,مردی با لباس آبی در یک باغ استاده است,A man in a blue shirt standing in a garden,
1000092795,4,دو دوست از اوقات با هم بودن لذت میبرند,Two friends enjoy time spent together,
10002456,0,چندین مرد با کلاه های سخت یک سیستم قرقره غول پیکر را اجرا میکنند,Several men in hard hats are operating a giant pulley system,
10002456,1,کارگران از بالا به یک قطعه نگاه میکنند,Workers look down from up above on a piece of equipment,
10002456,2,دو مرد کلاه دار روی دستگاهی کار میکنند,Two men working on a machine wearing hard hats,
10002456,3,چهار مرد بالای یک سازه بلند,Four men on top of a tall structure,
10002456,4,سه مرد روی یک دکل بزرگ,Three men on a large rig,
1000268201,0,کودکی با لباس صورتی از پله ها بالا میرود,A child in a pink dress is climbing up a set of stairs in an entry way,
1000268201,1,یک دختر کوچک با لباس صورتی وارد یک کابین چوبی میشود,A little girl in a pink dress going into a wooden cabin,
1000268201,2,یک دختر کوچک از پله ها به سمت خانه بازی خود بالا میرود,A little girl climbing the stairs to her playhouse,
1000268201,3,یک دختر کوچک درحال رفتن به یک خانه بازی چوبی است,A little girl climbing into a wooden playhouse,
1000268201,4,دختری وارد یک ساختمان چوبی میشود,A girl going into a wooden building,
1000344755,0,شخصی با لباس و کلاه آبی روی پله ایستاده و به پنجره تکیه داده است,Someone in a blue shirt and hat is standing on stair and leaning against a window,
1000344755,1,مردی با لباس آبی روی نردبانی ایستاده و مشغول تمیز کردن پنجره است,A man in a blue shirt is standing on a ladder cleaning a window,
1000344755,2,مردی روی نردبان پنجره یک ساختمان بلند را تمیز میکند,A man on a ladder cleans the window of a tall building,
1000344755,3,مردی با لباس آبی و شلوار جین روی نردبان درحال تمیز کردن پنجره ها است,man in blue shirt and jeans on ladder cleaning windows,
1000344755,4,مردی روی نردبان پنجره را تمیز میکند,a man on a ladder cleans a window,
1000366164,0,دو مرد یکی با لباس خاکستری دیگری با لباس سیاه نزدیک اجاق گاز ایستاده اند, Two men one in a gray shirt one in a black shirt standing near a stove,
1000366164,1,دو نفر درحال آشپزی هستند,Two guy cooking and joking around with the camera,
1000366164,2,دو مرد در آشپزخانه روی اجاق گاز غذا میپزند,Two men in a kitchen cooking food on a stove,
1000366164,3,دو مرد کنار اجاق هستند و مشغول تهیه غذا هستند,Two men are at the stove preparing food,
1000366164,4,دو مرد درحال آشپزی هستند,Two men are cooking a meal,
